,name,birth,death,nationality,n_poems
william-cowper,William Cowper,1731,1800,english,5
hart-crane,Hart Crane,1899,1932,american,5
richard-crashaw,Richard Crashaw,1613,1649,english,5
alice-guerin-crist,Alice Guerin Crist,1876,1941,irish-australian,6
e-e-cummings,E. E. Cummings,1894,1962,american,42
ruben-dario,Rubén Darío,1867,1916,nicaraguan,2
donald-davidson,Donald Davidson,1893,1968,american,8
donald-davie,Donald Davie,1922,1995,english,10
cecil-day-lewis,Cecil Day-Lewis,1904,1972,irish-english,15
james-dickey,James Dickey,1923,1997,american,12
emily-dickinson,Emily Dickinson,1830,1886,american,11
annie-dillard,Annie Dillard,1945,,american,10
john-donne,John Donne,1572,1631,english,12
hilda-doolittle,H. D.,1886,1961,american,5
mark-van-doren,Mark Van Doren,1894,1972,american,5
ernest-dowson,Ernest Dowson,1867,1900,english,10
john-dryden,John Dryden,1631,1700,english,5
paul-laurence-dunbar,Paul Laurence Dunbar,1872,1906,american,5
lawrence-durrell,Lawrence Durrell,1912,1990,british,2
mona-van-duyn,Mona Van Duyn,1921,2004,american,2
henry-van-dyke-jr,Henry van Dyke Jr.,1852,1933,american,3
bob-dylan,Bob Dylan,1941,,american,34
richard-eberhart,Richard Eberhart,1904,2005,american,69
max-ehrmann,Max Ehrmann,1872,1945,american,2
george-eliot,George Eliot,1819,1880,english,7
t-s-eliot,T. S. Eliot,1888,1965,american-english,49
ralph-waldo-emerson,Ralph Waldo Emerson,1803,1882,american,5
d-j-enright,D. J. Enright,1920,2002,british,1
ephrem-the-syrian,Saint Ephrem the Syrian,~306,373,syrian,2
william-everson,William Everson,1912,1994,american,7
frederick-william-faber,Frederick William Faber,1814,1863,english,5
b-h-fairchild,B. H. Fairchild,1942,,american,2
william-faulkner,William Faulkner,1897,1962,american,3
samuel-ferguson,Samuel Ferguson,1810,1886,irish,2
donald-finkel,Donald Finkel,1929,2008,american,6
robert-fitzgerald,Robert Fitzgerald,1910,1985,american,13
john-gould-fletcher,John Gould Fletcher,1886,1950,american-english,21
ford-madox-ford,Ford Madox Ford,1873,1939,english,17
francis-of-assisi,Saint Francis of Assisi,1181,1226,italian,3
robert-frost,Robert Frost,1874,1963,american,168
theophile-gautier,Théophile Gautier,1811,1872,french,4
khalil-gibran,Khalil Gibran,1883,1931,lebanese-american,96
jack-gilbert,Jack Gilbert,1925,2012,american,5
dana-gioia,Dana Gioia,1950,,american,13
louise-gluck,Louise Glück,1943,,american,3
johann-wolfgang-von-goethe,Johann Wolfgang von Goethe,1749,1832,german,11
adam-lindsay-gordon,Adam Lindsay Gordon,1833,1870,british-australian,4
robert-graves,Robert Graves,1895,1985,english,3
john-gray,John Gray,1866,1934,english,13
thomas-gray,Thomas Gray,1716,1771,english,4
gregory-of-narek,Saint Gregory of Narek,~950,~1010,armenian,3
thom-gunn,Thom Gunn,1929,2004,english,3
donald-hall,Donald Hall,1928,2018,american,13
thomas-hardy,Thomas Hardy,1840,1928,english,14
robert-hayden,Robert Hayden,1913,1980,american,2
seamus-heaney,Seamus Heaney,1939,2013,irish,10
james-hearst,James Hearst,1900,1983,american,5
anthony-hecht,Anthony Hecht,1923,2004,american,29
heinrich-heine,Heinrich Heine,1797,1856,german,19
felicia-hemans,Felicia Hemans,1793,1835,english-welsh,3
ernest-hemingway,Ernest Hemingway,1899,1961,american,12
william-ernest-henley,William Ernest Henley,1849,1903,english,6
george-herbert,George Herbert,1593,1633,english,70
zbigniew-herbert,Zbigniew Herbert,1924,1998,polish,19
robert-herrick,Robert Herrick,1591,1674,english,5
hermann-hesse,Hermann Hesse,1877,1962,german-swiss,11
hildegard-of-bingen,Saint Hildegard of Bingen,~1098,1179,german,6
geoffrey-hill,Geoffrey Hill,1932,2016,english,4
robert-hillyer,Robert Hillyer,1895,1961,american,4
daniel-hoffmann,Daniel Hoffmann,1923,2013,american,16
oliver-wendell-holmes,Oliver Wendell Holmes,1809,1894,american,3
arno-holz,Arno Holz,1863,1929,german,4
thomas-hood,Thomas Hood,1799,1845,english,5
gerard-manley-hopkins,Gerard Manley Hopkins,1844,1889,english,80
horace,Horace,-65,-8,roman,8
a-e-housman,A. E. Housman,1859,1936,english,30
andrew-hudgins,Andrew Hudgins,1951,,american,4
langston-hughes,Langston Hughes,1901,1967,american,2
ted-hughes,Ted Hughes,1930,1998,english,6
victor-hugo,Victor Hugo,1802,1885,french,6
t-e-hulme,T. E. Hulme,1883,1917,english,2
aldous-huxley,Aldous Huxley,1894,1963,english,22
randall-jarrell,Randall Jarrell,1914,1965,american,6
robinson-jeffers,Robinson Jeffers,1887,1962,american,23
elizabeth-jennings,Elizabeth Jennings,1926,2001,english,14
juan-ramon-jimenez,Juan Ramón Jiménez,1881,1958,spanish,4
john-of-the-cross,Saint John of the Cross,1542,1591,spanish,12
john-paul-ii,Pope Saint John Paul II,1920,2005,polish,3
lionel-johnson,Lionel Johnson,1867,1902,english,5
samuel-johnson,Samuel Johnson,1709,1784,english,7
ben-jonson,Ben Jonson,1572,1637,english,2
james-joyce,James Joyce,1882,1941,irish,4
donald-justice,Donald Justice,1925,2004,american,32
kabir,Kabir,~1440,~1518,indian,1
anna-kamienska,Anna Kamieńska,1920,1986,polish,10
erik-axel-karlfeldt,Erik Axel Karlfeldt,1864,1931,swedish,3
patrick-kavanagh,Patrick Kavanagh,1904,1967,irish,9
john-keats,John Keats,1795,1821,english,5
john-keble,John Keble,1792,1866,english,6
henry-kendall,Henry Kendall,1839,1882,australian,1
geoffrey-studdert-kennedy,Geoffrey Studdert Kennedy,1883,1929,english,11
x-j-kennedy,X. J. Kennedy,1929,,american,2
jack-kerouac,Jack Kerouac,1922,1969,american,11
joyce-kilmer,Joyce Kilmer,1886,1918,american,41
rudyard-kipling,Rudyard Kipling,1865,1936,english,6
watson-kirkconnell,Watson Kirkconnell,1895,1977,canadian,1
friedrich-gottlieb-klopstock,Friedrich Gottlieb Klopstock,1724,1803,german,1
kenneth-koch,Kenneth Koch,1925,2002,american,5
zygmunt-krasinski,Zygmunt Krasiński,1812,1859,polish,1
alfred-kreymborg,Alfred Kreymborg,1883,1966,american,3
stanley-kunitz,Stanley Kunitz,1905,2006,american,43
par-lagerkvist,Pär Lagerkvist,1891,1974,swedish,2
charles-lamb,Charles Lamb,1775,1834,english,4
walter-savage-landor,Walter Savage Landor,1775,1864,english,4
philip-larkin,Philip Larkin,1922,1985,english,7
d-h-lawrence,D. H. Lawrence,1885,1930,english,51
emma-lazarus,Emma Lazarus,1849,1887,american,2
edward-lear,Edward Lear,1812,1888,english,8
luis-de-leon,Luis de León,~1527,1591,spanish,1
giacomo-leopardi,Giacomo Leopardi,1798,1837,italian,14
mikhail-lermontov,Mikhail Lermontov,1814,1841,russian,9
denise-levertov,Denise Levertov,1923,1997,american,35
philip-levine,Philip Levine,1928,2015,american,77
c-s-lewis,C. S. Lewis,1898,1963,british,33
saunders-lewis,Saunders Lewis,1893,1985,welsh,2
li-po,Li Po,701,762,chinese,1
vachel-lindsay,Vachel Lindsay,1879,1931,american,14
henry-wadsworth-longfellow,Henry Wadsworth Longfellow,1807,1882,american,6
federico-garcia-lorca,Federico García Lorca,1898,1936,spanish,2
amy-lowell,Amy Lowell,1874,1925,american,2
james-russell-lowell,James Russell Lowell,1819,1891,american,1
robert-lowell,Robert Lowell,1917,1977,american,11
malcolm-lowry,Malcolm Lowry,1909,1957,english,4
john-lydgate,John Lydgate,~1370,~1451,english,2
george-macdonald,George MacDonald,1824,1905,scottish,17
archibald-macleish,Archibald MacLeish,1892,1982,american,6
louis-macneice,Louis MacNeice,1907,1963,irish-british,15
