name,month,day,easter_offset,kind,forced
saint_donnino,november,5.0,,feast,False
saint_felice_la_calle,november,6.0,,feast,False
saint_didacus,november,7.0,,feast,False
blessed_john_duns_scotus,november,8.0,,feast,False
dedication_of_the_lateran_basilica,november,9.0,,feast,False
saint_leo_the_great,november,10.0,,feast,False
veterans_day,november,11.0,,feast,False
saint_josaphat,november,12.0,,feast,False
saint_frances_xavier_cabrini,november,13.0,,feast,False
saint_nicholas_tavelic_and_companions,november,14.0,,feast,False
saint_albert_the_great,november,15.0,,feast,False
saint_margaret_of_scotland,november,16.0,,feast,False
saint_elizabeth_of_hungary,november,17.0,,feast,False
saint_rose_philippine_duchesne,november,18.0,,feast,False
saint_agnes_of_assisi,november,19.0,,feast,False
saint_edmund_rich,november,20.0,,feast,False
presentation_of_the_blessed_virgin_mary,november,21.0,,feast,False
saint_cecilia,november,22.0,,feast,False
saint_clement,november,23.0,,feast,False
saint_andrew_dung-lac,november,24.0,,feast,False
saint_catherine_of_alexandria,november,25.0,,feast,False
saint_leonard_of_port_maurice,november,26.0,,feast,False
saint_francesco_antonio_fasani,november,27.0,,feast,False
saint_james_of_the_marche,november,28.0,,feast,False
saint_saturninus,november,29.0,,feast,False
saint_andrew,november,30.0,,feast,False
saint_eligius,december,1.0,,feast,False
blessed_rafal_chylinski,december,2.0,,feast,False
saint_francis_xavier,december,3.0,,feast,False
saint_john_of_damascus,december,4.0,,feast,False
saint_sabas,december,5.0,,feast,False
saint_nicholas,december,6.0,,feast,False
saint_ambrose,december,7.0,,feast,False
immaculate_conception,december,8.0,,solemnity,True
saint_juan_diego,december,9.0,,feast,False
our_lady_of_loreto,december,10.0,,feast,False
saint_damasus_i,december,11.0,,feast,False
our_lady_of_guadalupe,december,12.0,,feast,False
saint_lucia,december,13.0,,feast,False
saint_john_of_the_cross,december,14.0,,feast,False
blessed_mary_frances_schervier,december,15.0,,feast,False
blessed_honoratus_kozminski,december,16.0,,feast,False
saint_lazarus,december,17.0,,feast,False
saint_rufus,december,18.0,,feast,False
blessed_pope_urban_v,december,19.0,,feast,False
saint_dominic_of_silos,december,20.0,,feast,False
saint_peter_canisius,december,21.0,,feast,False
blessed_jacopone_da_todi,december,22.0,,feast,False
saint_john_kanty,december,23.0,,feast,False
christmas_day,december,25.0,,solemnity,True
saint_stephen,december,26.0,,feast,False
saint_john_the_apostle,december,27.0,,feast,False
holy_innocents,december,28.0,,feast,False
saint_thomas_becket,december,29.0,,feast,False
saint_egwin,december,30.0,,feast,False

septuagesima,,,-63.0,feast,False
mardi_gras,,,-47.0,feast,False
ash_wednesday,,,-46.0,feast,False
laetare_sunday,,,-21.0,feast,False
palm_sunday,,,-7.0,feast,False
holy_thursday,,,-3.0,triduum,True
good_friday,,,-2.0,triduum,True
holy_saturday,,,-1.0,triduum,True
easter_sunday,,,0.0,solemnity,True
divine_mercy,,,7.0,feast,False
ascension,,,39.0,solemnity,True
pentecost,,,49.0,solemnity,True
trinity_sunday,,,56.0,solemnity,True
corpus_christi,,,60.0,solemnity,True
sacred_heart_of_jesus,,,68.0,solemnity,True
immaculate_heart_of_mary,,,69.0,feast,False

new_years_day,january,1.0,,solemnity,True
halloween,october,31.0,,feast,True
christmas_eve,december,24.0,,feast,False
new_years_eve,december,31.0,,feast,False
christ_the_king,,,,solemnity,True

spring_equinox,,,,,False
summer_solstice,,,,,False
autumn_equinox,,,,,False
winter_solstice,,,,,False
advent_sunday,,,,,True
christ_the_king,,,,,True
presidents_day,,,,,False
mothers_day,,,,,False
fathers_day,,,,,False
labor_day,,,,,False
columbus_day,,,,,False
thanksgiving,,,,,True
baptism,,,,,False
memorial_day,,,,,False
holy_family,,,,,False
